77	57899.648 us
76	58061.399 us
75	57740.950 us
74	58245.979 us
73	58045.647 us
72	58181.408 us
71	58082.95 us
70	57954.223 us
69	58296.494 us
68	57851.892 us
67	58056.312 us
66	58061.116 us
65	57960.697 us
64	58144.706 us
63	57831.487 us
62	58213.213 us
61	57984.764 us
60	57890.116 us
59	58241.134 us
58	58277.518 us
57	57897.332 us
56	58063.633 us
55	58164.744 us
54	58001.97 us
53	57909.306 us
52	58153.380 us
51	58220.246 us
50	58225.695 us
49	58049.577 us
48	58095.396 us
47	57971.932 us
46	57939.904 us
45	58212.20 us
44	58235.195 us
43	58154.413 us
42	58247.7 us
41	58152.211 us
40	58120.641 us
39	57855.565 us
38	58202.722 us
37	58167.175 us
36	58075.724 us
35	57916.471 us
34	57874.973 us
33	57996.483 us
32	57699.683 us
31	58067.691 us
30	58042.566 us
29	58090.814 us
28	57745.83 us
27	57860.262 us
26	58103.927 us
25	57850.389 us
24	57967.820 us
23	57852.278 us
22	57981.538 us
21	57998.940 us
20	57758.373 us
19	58030.55 us
18	57810.176 us
17	57832.994 us
16	57896.399 us
15	58097.184 us
14	58021.837 us
13	57990.56 us
12	58023.105 us
11	57926.719 us
10	58142.955 us
9	57823.249 us
8	57974.650 us
7	57940.898 us
6	58117.185 us
5	57979.330 us
4	57999.972 us
3	57637.558 us
2	57830.936 us
1	58191.167 us
0	57957.822 us
