121	59734.105 us
122	59605.807 us
123	59868.870 us
124	59742.44 us
125	59273.56 us
126	59718.155 us
127	59539.861 us
128	59861.486 us
129	59550.59 us
130	59918.327 us
131	59706.446 us
132	59735.892 us
133	59681.746 us
134	59549.212 us
135	59901.871 us
136	59758.909 us
137	59772.297 us
138	59813.68 us
139	59145.72 us
140	59696.187 us
141	59738.479 us
142	59985.597 us
143	59557.754 us
144	59874.727 us
145	58904.98 us
146	60046.627 us
147	59495.213 us
148	59686.113 us
149	59658.795 us
150	59620.389 us
151	59343.434 us
152	59790.702 us
153	59910.973 us
154	59573.235 us
155	59703.338 us
156	59821.192 us
157	59513.79 us
158	59801.561 us
159	60156.392 us
160	59747.669 us
161	59736.758 us
162	59268.756 us
163	59783.477 us
164	59417.196 us
165	59725.964 us
166	59817.970 us
167	59534.283 us
168	59537.782 us
169	59516.159 us
170	59607.187 us
171	59011.581 us
172	59498.648 us
173	59769.656 us
174	59635.125 us
175	59637.925 us
176	59195.814 us
177	59374.705 us
178	59205.47 us
179	59560.608 us
180	59645.50 us
181	59528.918 us
182	58756.860 us
183	59537.555 us
184	59495.375 us
185	59197.499 us
186	59331.567 us
187	59439.830 us
188	59156.659 us
189	59708.786 us
190	59388.343 us
191	59246.229 us
192	59428.81 us
193	59212.70 us
194	59444.654 us
195	59165.997 us
196	59135.697 us
197	59295.343 us
198	59554.692 us
199	59459.504 us
200	58916.601 us
201	59310.0 us
202	59028.465 us
203	59460.865 us
204	59374.464 us
205	59045.748 us
206	59193.30 us
207	58961.147 us
208	59574.345 us
209	59284.496 us
210	59301.889 us
211	59328.575 us
212	59341.473 us
213	59024.693 us
214	59074.511 us
215	59276.894 us
216	58873.773 us
217	59574.842 us
218	59535.489 us
219	59355.336 us
220	59081.828 us
221	58821.355 us
222	59152.765 us
223	59503.37 us
224	59414.973 us
225	59519.269 us
226	59774.663 us
227	59024.844 us
228	59066.180 us
229	59514.29 us
230	59383.118 us
231	59254.796 us
232	59366.202 us
233	59400.186 us
234	59421.602 us
235	58780.920 us
236	59211.658 us
